first,second,groupauthor,secondauthor,grouptheme,secondtheme,cosine
8,56,1,3,1,2,0.242746717
8,57,1,3,1,2,-0.114051019
8,58,1,3,1,2,0.177461183
8,59,1,3,1,2,0.197492418
8,60,1,3,1,2,0.268264182
8,61,1,3,1,2,0.226978301
8,62,1,3,1,2,0.200292946
8,63,1,3,1,2,0.22661216
8,64,1,3,1,2,0.08639519
8,65,1,3,1,2,0.03788906
8,66,1,3,1,2,0.307672086
9,10,1,1,1,1,0.524726705
9,11,1,1,1,1,0.5951707
9,12,1,1,1,1,0.40468904
9,13,1,1,1,1,0.259071667
9,14,1,1,1,1,0.334204382
9,15,1,1,1,1,0.289645277
9,16,1,1,1,1,0.28150877
9,17,1,1,1,1,0.549528083
9,18,1,1,1,1,0.323485968
9,19,1,1,1,1,0.229263677
9,20,1,1,1,1,0.373487338
9,21,1,1,1,1,0.161895842
9,22,1,1,1,1,0.228626343
9,23,1,1,1,1,0.080867384
9,24,1,1,1,1,0.206689836
9,25,1,1,1,1,0.285288267
9,26,1,1,1,1,0.367049222
9,27,1,1,1,1,0.517578206
9,28,1,1,1,1,0.156595995
9,29,1,1,1,1,0.060145033
9,30,1,1,1,1,0.186053657
9,31,1,1,1,1,0.382668365
9,32,1,1,1,1,0.359470009
9,33,1,1,1,1,0.08972706
9,34,1,1,1,1,0.29446513
9,35,1,1,1,1,0.313008198
9,36,1,1,1,1,0.065135272
9,37,1,1,1,1,0.158225275
9,38,1,1,1,1,0.427340209
9,39,1,1,1,1,0.325822735
9,40,1,2,1,2,0.057056803
9,41,1,2,1,2,0.102458176
9,42,1,2,1,2,0.316565385
9,43,1,2,1,2,0.160741256
9,44,1,2,1,2,0.387204214
9,45,1,2,1,2,0.207719952
9,46,1,2,1,2,0.285794681
9,47,1,2,1,2,0.092943925
9,48,1,2,1,2,0.327185063
9,49,1,2,1,2,0.223325298
9,50,1,2,1,2,0.236359545
9,51,1,2,1,2,0.374047597
9,52,1,2,1,2,0.280192819
9,53,1,2,1,2,0.369120278
9,54,1,2,1,2,0.186785417
9,55,1,2,1,2,0.468275226
9,56,1,3,1,2,0.352634239
9,57,1,3,1,2,0.114558733
9,58,1,3,1,2,0.493517771
9,59,1,3,1,2,0.459846525
9,60,1,3,1,2,0.312167706
9,61,1,3,1,2,0.260196738
9,62,1,3,1,2,0.299322011
9,63,1,3,1,2,0.306605693
9,64,1,3,1,2,0.314904484
9,65,1,3,1,2,0.154831179
9,66,1,3,1,2,0.15065285
10,11,1,1,1,1,0.378072026
10,12,1,1,1,1,0.318024842
10,13,1,1,1,1,0.225529638
10,14,1,1,1,1,0.222994155
10,15,1,1,1,1,0.19466024
10,16,1,1,1,1,0.235274933
10,17,1,1,1,1,0.501129077
10,18,1,1,1,1,0.276309525
10,19,1,1,1,1,0.127512375
10,20,1,1,1,1,0.20695244
10,21,1,1,1,1,0.129684519
10,22,1,1,1,1,0.145197078
10,23,1,1,1,1,0.129086207
10,24,1,1,1,1,0.155451302
10,25,1,1,1,1,0.192551103
10,26,1,1,1,1,0.175426116
10,27,1,1,1,1,0.489597611
10,28,1,1,1,1,0.13814598
10,29,1,1,1,1,0.123593861
10,30,1,1,1,1,0.199782287
10,31,1,1,1,1,0.548345324
10,32,1,1,1,1,0.169639671
10,33,1,1,1,1,0.121125235
10,34,1,1,1,1,0.168232961
10,35,1,1,1,1,0.10792324
10,36,1,1,1,1,0.088523198
10,37,1,1,1,1,0.212090228
10,38,1,1,1,1,-0.000459377
10,39,1,1,1,1,0.113902007
10,40,1,2,1,2,0.132304774
10,41,1,2,1,2,0.139163994
10,42,1,2,1,2,0.397583555
10,43,1,2,1,2,0.189448725
10,44,1,2,1,2,0.112997089
10,45,1,2,1,2,0.277019833
10,46,1,2,1,2,0.339009623
10,47,1,2,1,2,0.160320379
10,48,1,2,1,2,0.342260654
10,49,1,2,1,2,0.187616502
10,50,1,2,1,2,0.199233425
10,51,1,2,1,2,0.142791289
10,52,1,2,1,2,0.290307715
10,53,1,2,1,2,0.139363509
10,54,1,2,1,2,0.130518143
10,55,1,2,1,2,0.231786987
10,56,1,3,1,2,0.160939355
10,57,1,3,1,2,0.134717179
10,58,1,3,1,2,0.15828378
10,59,1,3,1,2,0.151607282
10,60,1,3,1,2,0.23475966
10,61,1,3,1,2,0.077174988
10,62,1,3,1,2,0.188504002
10,63,1,3,1,2,0.141831801
10,64,1,3,1,2,0.133755747
10,65,1,3,1,2,0.135985643
10,66,1,3,1,2,0.139292205
11,12,1,1,1,1,0.364219224
11,13,1,1,1,1,0.625978886
11,14,1,1,1,1,0.220378681
11,15,1,1,1,1,0.085949705
11,16,1,1,1,1,0.174502939
11,17,1,1,1,1,0.674600748
11,18,1,1,1,1,0.389852252
11,19,1,1,1,1,0.349763604
11,20,1,1,1,1,0.511906015
11,21,1,1,1,1,0.119734544
11,22,1,1,1,1,-0.014551816
11,23,1,1,1,1,0.325055991
11,24,1,1,1,1,0.071473476
11,25,1,1,1,1,0.44387797
11,26,1,1,1,1,0.285863247
11,27,1,1,1,1,0.749186795
11,28,1,1,1,1,0.175748446
11,29,1,1,1,1,0.123426665
11,30,1,1,1,1,0.183713423
11,31,1,1,1,1,0.449712042
11,32,1,1,1,1,0.494591287
11,33,1,1,1,1,0.299894021
11,34,1,1,1,1,0.557925708
11,35,1,1,1,1,0.453201621
11,36,1,1,1,1,0.241625119
11,37,1,1,1,1,0.173969923
11,38,1,1,1,1,0.264451584
11,39,1,1,1,1,0.296778811
11,40,1,2,1,2,0.112369608
11,41,1,2,1,2,0.16628789
11,42,1,2,1,2,0.391566373
11,43,1,2,1,2,0.305537419
11,44,1,2,1,2,0.148005298
11,45,1,2,1,2,0.26035494
11,46,1,2,1,2,0.288019694
11,47,1,2,1,2,0.280279832
11,48,1,2,1,2,0.343490187
