comparison,male_partno,fem_partno,cosine,male_openness,male_extraversion,male_agreeableness,male_conscientiousness,male_emo_stab,fem_openness,fem_extraversion,fem_agreeableness,fem_conscientiousness,fem_emo_stab
432,94,14,0.376485289,41,33,28,39,42,40,43,40,38,20
433,96,14,0.016815614,33,41,33,39,35,40,43,40,38,20
434,97,14,0.358875639,42,44,38,26,29,40,43,40,38,20
435,98,14,0.126271355,46,22,34,40,26,40,43,40,38,20
436,99,14,0.35290202,34,45,32,34,28,40,43,40,38,20
437,101,14,0.483115422,34,40,42,33,40,40,43,40,38,20
438,103,14,0.181624452,33,36,30,32,25,40,43,40,38,20
439,104,14,0.162148453,35,44,40,41,35,40,43,40,38,20
440,105,14,-0.106663329,30,37,44,35,36,40,43,40,38,20
441,2,16,0.038338158,30,33,41,43,22,38,36,42,39,32
442,7,16,0.12513612,40,27,32,25,15,38,36,42,39,32
443,12,16,0.083506444,39,33,31,30,30,38,36,42,39,32
444,15,16,-0.038839635,39,35,31,39,43,38,36,42,39,32
445,21,16,0.115638939,42,44,44,49,22,38,36,42,39,32
446,24,16,0.034608672,37,37,31,31,32,38,36,42,39,32
447,25,16,0.035509351,41,43,43,43,47,38,36,42,39,32
448,30,16,-0.030192115,29,39,39,37,34,38,36,42,39,32
449,33,16,0.015265579,34,36,33,40,28,38,36,42,39,32
450,34,16,0.288809287,39,28,34,39,33,38,36,42,39,32
451,35,16,0.196906505,42,41,32,41,34,38,36,42,39,32
452,37,16,0.116500387,35,39,35,41,34,38,36,42,39,32
453,38,16,0.020134466,32,26,33,30,28,38,36,42,39,32
454,50,16,0.016803107,48,28,43,36,25,38,36,42,39,32
455,58,16,0.001235744,31,36,36,33,27,38,36,42,39,32
456,66,16,0.056988845,34,29,35,38,35,38,36,42,39,32
457,73,16,0.207688534,34,45,32,32,25,38,36,42,39,32
458,74,16,0.21064623,44,36,39,29,22,38,36,42,39,32
459,76,16,0.052312625,37,31,24,24,31,38,36,42,39,32
460,77,16,0.175982148,36,50,34,30,33,38,36,42,39,32
461,78,16,0.21500604,44,21,32,22,18,38,36,42,39,32
462,79,16,0.157293556,47,25,37,28,22,38,36,42,39,32
463,80,16,0.348080658,41,46,41,39,44,38,36,42,39,32
464,81,16,0.515655093,41,46,36,33,38,38,36,42,39,32
465,82,16,0.26052908,47,46,47,42,42,38,36,42,39,32
466,83,16,0.255214237,39,42,45,33,41,38,36,42,39,32
467,84,16,0.411862798,46,47,37,34,43,38,36,42,39,32
468,86,16,0.482411587,35,44,35,35,33,38,36,42,39,32
469,87,16,0.185744806,36,40,37,36,29,38,36,42,39,32
470,88,16,0.080615194,24,47,32,36,46,38,36,42,39,32
471,89,16,0.172365962,36,37,28,32,32,38,36,42,39,32
472,90,16,0.256365113,23,35,38,38,32,38,36,42,39,32
473,91,16,0.230024807,25,42,34,46,45,38,36,42,39,32
474,92,16,0.148400198,48,46,36,44,37,38,36,42,39,32
475,93,16,0.113032416,35,24,37,22,33,38,36,42,39,32
476,94,16,-0.021935831,41,33,28,39,42,38,36,42,39,32
477,96,16,-0.094202956,33,41,33,39,35,38,36,42,39,32
478,97,16,0.070385831,42,44,38,26,29,38,36,42,39,32
479,98,16,0.007858083,46,22,34,40,26,38,36,42,39,32
480,99,16,0.213812588,34,45,32,34,28,38,36,42,39,32
481,101,16,-0.011213406,34,40,42,33,40,38,36,42,39,32
482,103,16,0.133914271,33,36,30,32,25,38,36,42,39,32
483,104,16,0.05824057,35,44,40,41,35,38,36,42,39,32
484,105,16,0.178141616,30,37,44,35,36,38,36,42,39,32
485,2,17,0.18040002,30,33,41,43,22,44,36,41,43,35
486,7,17,0.108799786,40,27,32,25,15,44,36,41,43,35
487,12,17,0.199059332,39,33,31,30,30,44,36,41,43,35
488,15,17,0.049914101,39,35,31,39,43,44,36,41,43,35
489,21,17,0.025094598,42,44,44,49,22,44,36,41,43,35
490,24,17,0.068400485,37,37,31,31,32,44,36,41,43,35
491,25,17,0.007066935,41,43,43,43,47,44,36,41,43,35
492,30,17,0.186774874,29,39,39,37,34,44,36,41,43,35
493,33,17,0.393354452,34,36,33,40,28,44,36,41,43,35
494,34,17,-0.065545521,39,28,34,39,33,44,36,41,43,35
495,35,17,-0.011695092,42,41,32,41,34,44,36,41,43,35
496,37,17,-0.007832009,35,39,35,41,34,44,36,41,43,35
497,38,17,0.139094491,32,26,33,30,28,44,36,41,43,35
498,50,17,0.05067926,48,28,43,36,25,44,36,41,43,35
499,58,17,0.040573169,31,36,36,33,27,44,36,41,43,35
500,66,17,0.078648454,34,29,35,38,35,44,36,41,43,35
501,73,17,0.076215137,34,45,32,32,25,44,36,41,43,35
502,74,17,0.16434276,44,36,39,29,22,44,36,41,43,35
503,76,17,0.052828004,37,31,24,24,31,44,36,41,43,35
504,77,17,-0.008573479,36,50,34,30,33,44,36,41,43,35
505,78,17,0.111242151,44,21,32,22,18,44,36,41,43,35
506,79,17,0.093994137,47,25,37,28,22,44,36,41,43,35
507,80,17,0.329694042,41,46,41,39,44,44,36,41,43,35
508,81,17,0.067067829,41,46,36,33,38,44,36,41,43,35
509,82,17,0.15900539,47,46,47,42,42,44,36,41,43,35
510,83,17,0.434281167,39,42,45,33,41,44,36,41,43,35
511,84,17,0.024759105,46,47,37,34,43,44,36,41,43,35
512,86,17,0.017612419,35,44,35,35,33,44,36,41,43,35
513,87,17,0.057232242,36,40,37,36,29,44,36,41,43,35
514,88,17,0.160676961,24,47,32,36,46,44,36,41,43,35
515,89,17,0.353396379,36,37,28,32,32,44,36,41,43,35
516,90,17,0.222849656,23,35,38,38,32,44,36,41,43,35
517,91,17,0.058907079,25,42,34,46,45,44,36,41,43,35
518,92,17,0.228385182,48,46,36,44,37,44,36,41,43,35
519,93,17,0.068585279,35,24,37,22,33,44,36,41,43,35
520,94,17,0.062275345,41,33,28,39,42,44,36,41,43,35
521,96,17,0.063334559,33,41,33,39,35,44,36,41,43,35
522,97,17,0.11373025,42,44,38,26,29,44,36,41,43,35
523,98,17,0.04897104,46,22,34,40,26,44,36,41,43,35
524,99,17,0.163875755,34,45,32,34,28,44,36,41,43,35
525,101,17,-0.228342202,34,40,42,33,40,44,36,41,43,35
526,103,17,0.287634464,33,36,30,32,25,44,36,41,43,35
527,104,17,0.1474137,35,44,40,41,35,44,36,41,43,35
528,105,17,0.080501916,30,37,44,35,36,44,36,41,43,35
529,2,18,0.033116949,30,33,41,43,22,35,44,44,32,35
530,7,18,0.17472997,40,27,32,25,15,35,44,44,32,35
531,12,18,0.736569657,39,33,31,30,30,35,44,44,32,35
532,15,18,0.212780417,39,35,31,39,43,35,44,44,32,35
533,21,18,0.127523696,42,44,44,49,22,35,44,44,32,35
534,24,18,0.245632393,37,37,31,31,32,35,44,44,32,35
535,25,18,0.422055563,41,43,43,43,47,35,44,44,32,35
536,30,18,0.115226224,29,39,39,37,34,35,44,44,32,35
537,33,18,0.119444491,34,36,33,40,28,35,44,44,32,35
538,34,18,0.12407196,39,28,34,39,33,35,44,44,32,35
539,35,18,0.39664478,42,41,32,41,34,35,44,44,32,35
540,37,18,0.441382861,35,39,35,41,34,35,44,44,32,35
541,38,18,0.190978146,32,26,33,30,28,35,44,44,32,35
542,50,18,0.294813121,48,28,43,36,25,35,44,44,32,35
543,58,18,0.06400682,31,36,36,33,27,35,44,44,32,35
544,66,18,0.528126292,34,29,35,38,35,35,44,44,32,35
545,73,18,0.213656673,34,45,32,32,25,35,44,44,32,35
546,74,18,0.079978309,44,36,39,29,22,35,44,44,32,35
547,76,18,0.102159595,37,31,24,24,31,35,44,44,32,35
548,77,18,0.048079231,36,50,34,30,33,35,44,44,32,35
549,78,18,0.074839584,44,21,32,22,18,35,44,44,32,35
550,79,18,0.023185157,47,25,37,28,22,35,44,44,32,35
551,80,18,0.159411572,41,46,41,39,44,35,44,44,32,35
552,81,18,0.04293449,41,46,36,33,38,35,44,44,32,35
553,82,18,0.292031667,47,46,47,42,42,35,44,44,32,35
554,83,18,0.338049874,39,42,45,33,41,35,44,44,32,35
555,84,18,0.50876451,46,47,37,34,43,35,44,44,32,35
556,86,18,0.209623941,35,44,35,35,33,35,44,44,32,35
557,87,18,0.356009895,36,40,37,36,29,35,44,44,32,35
558,88,18,0.224568223,24,47,32,36,46,35,44,44,32,35
559,89,18,0.629757878,36,37,28,32,32,35,44,44,32,35
560,90,18,0.308298021,23,35,38,38,32,35,44,44,32,35
561,91,18,0.178498953,25,42,34,46,45,35,44,44,32,35
562,92,18,0.238911805,48,46,36,44,37,35,44,44,32,35
563,93,18,0.079645656,35,24,37,22,33,35,44,44,32,35
564,94,18,0.15107275,41,33,28,39,42,35,44,44,32,35
565,96,18,0.180747931,33,41,33,39,35,35,44,44,32,35
566,97,18,0.5378822,42,44,38,26,29,35,44,44,32,35
567,98,18,0.131529959,46,22,34,40,26,35,44,44,32,35
568,99,18,0.347732909,34,45,32,34,28,35,44,44,32,35
569,101,18,0.272786656,34,40,42,33,40,35,44,44,32,35
570,103,18,0.018725075,33,36,30,32,25,35,44,44,32,35
571,104,18,0.306093365,35,44,40,41,35,35,44,44,32,35
572,105,18,0.23357924,30,37,44,35,36,35,44,44,32,35
573,2,19,-0.007059227,30,33,41,43,22,42,46,36,35,28
574,7,19,0.074903154,40,27,32,25,15,42,46,36,35,28
575,12,19,0.300295093,39,33,31,30,30,42,46,36,35,28
576,15,19,-0.007435725,39,35,31,39,43,42,46,36,35,28
577,21,19,0.233078812,42,44,44,49,22,42,46,36,35,28
578,24,19,0.036874881,37,37,31,31,32,42,46,36,35,28
579,25,19,0.492822101,41,43,43,43,47,42,46,36,35,28
580,30,19,0.041192639,29,39,39,37,34,42,46,36,35,28
581,33,19,0.320242739,34,36,33,40,28,42,46,36,35,28
582,34,19,0.228563927,39,28,34,39,33,42,46,36,35,28
583,35,19,0.377036089,42,41,32,41,34,42,46,36,35,28
584,37,19,0.130430231,35,39,35,41,34,42,46,36,35,28
585,38,19,-0.009806933,32,26,33,30,28,42,46,36,35,28
586,50,19,0.262301111,48,28,43,36,25,42,46,36,35,28
587,58,19,-0.00866285,31,36,36,33,27,42,46,36,35,28
588,66,19,0.206287604,34,29,35,38,35,42,46,36,35,28
589,73,19,0.289467471,34,45,32,32,25,42,46,36,35,28
590,74,19,-0.009774239,44,36,39,29,22,42,46,36,35,28
591,76,19,0.014296548,37,31,24,24,31,42,46,36,35,28
592,77,19,0.183007012,36,50,34,30,33,42,46,36,35,28
593,78,19,0.256170654,44,21,32,22,18,42,46,36,35,28
594,79,19,-0.01307173,47,25,37,28,22,42,46,36,35,28
595,80,19,0.295462587,41,46,41,39,44,42,46,36,35,28
596,81,19,0.194527675,41,46,36,33,38,42,46,36,35,28
597,82,19,0.484179898,47,46,47,42,42,42,46,36,35,28
598,83,19,0.285802511,39,42,45,33,41,42,46,36,35,28
599,84,19,0.397631679,46,47,37,34,43,42,46,36,35,28
600,86,19,0.390866402,35,44,35,35,33,42,46,36,35,28
601,87,19,0.003203807,36,40,37,36,29,42,46,36,35,28
602,88,19,0.159006054,24,47,32,36,46,42,46,36,35,28
603,89,19,0.293844168,36,37,28,32,32,42,46,36,35,28
604,90,19,0.086412887,23,35,38,38,32,42,46,36,35,28
605,91,19,0.203295279,25,42,34,46,45,42,46,36,35,28
606,92,19,0.078916231,48,46,36,44,37,42,46,36,35,28
607,93,19,0.035254765,35,24,37,22,33,42,46,36,35,28
608,94,19,0.188493996,41,33,28,39,42,42,46,36,35,28
609,96,19,0.006335383,33,41,33,39,35,42,46,36,35,28
610,97,19,0.217360357,42,44,38,26,29,42,46,36,35,28
611,98,19,0.024727517,46,22,34,40,26,42,46,36,35,28
612,99,19,0.431362536,34,45,32,34,28,42,46,36,35,28
613,101,19,0.384094034,34,40,42,33,40,42,46,36,35,28
614,103,19,0.130919457,33,36,30,32,25,42,46,36,35,28
615,104,19,0.277949098,35,44,40,41,35,42,46,36,35,28
616,105,19,0.059759223,30,37,44,35,36,42,46,36,35,28
617,2,20,0.079966525,30,33,41,43,22,38,43,40,37,28
618,7,20,-0.01170451,40,27,32,25,15,38,43,40,37,28
619,12,20,0.537182852,39,33,31,30,30,38,43,40,37,28
620,15,20,0.128489757,39,35,31,39,43,38,43,40,37,28
621,21,20,0.16944046,42,44,44,49,22,38,43,40,37,28
622,24,20,0.193327492,37,37,31,31,32,38,43,40,37,28
623,25,20,0.419412706,41,43,43,43,47,38,43,40,37,28
624,30,20,0.054759342,29,39,39,37,34,38,43,40,37,28
625,33,20,0.272185635,34,36,33,40,28,38,43,40,37,28
626,34,20,0.173388966,39,28,34,39,33,38,43,40,37,28
627,35,20,0.526943739,42,41,32,41,34,38,43,40,37,28
628,37,20,0.321041368,35,39,35,41,34,38,43,40,37,28
629,38,20,0.096297778,32,26,33,30,28,38,43,40,37,28
630,50,20,0.382157642,48,28,43,36,25,38,43,40,37,28
631,58,20,-0.006416033,31,36,36,33,27,38,43,40,37,28
632,66,20,0.407918344,34,29,35,38,35,38,43,40,37,28
633,73,20,0.259103427,34,45,32,32,25,38,43,40,37,28
634,74,20,0.116012239,44,36,39,29,22,38,43,40,37,28
635,76,20,0.022976043,37,31,24,24,31,38,43,40,37,28
636,77,20,0.222261452,36,50,34,30,33,38,43,40,37,28
637,78,20,0.278323972,44,21,32,22,18,38,43,40,37,28
638,79,20,0.069775104,47,25,37,28,22,38,43,40,37,28
639,80,20,0.143344804,41,46,41,39,44,38,43,40,37,28
640,81,20,0.045720632,41,46,36,33,38,38,43,40,37,28
641,82,20,0.39002437,47,46,47,42,42,38,43,40,37,28
642,83,20,0.31825802,39,42,45,33,41,38,43,40,37,28
643,84,20,0.594935763,46,47,37,34,43,38,43,40,37,28
644,86,20,0.23471313,35,44,35,35,33,38,43,40,37,28
645,87,20,0.341759104,36,40,37,36,29,38,43,40,37,28
646,88,20,0.190093341,24,47,32,36,46,38,43,40,37,28
647,89,20,0.383414022,36,37,28,32,32,38,43,40,37,28
648,90,20,0.083398425,23,35,38,38,32,38,43,40,37,28
649,91,20,0.076338704,25,42,34,46,45,38,43,40,37,28
650,92,20,0.270284607,48,46,36,44,37,38,43,40,37,28
651,93,20,0.105936026,35,24,37,22,33,38,43,40,37,28
652,94,20,0.157701445,41,33,28,39,42,38,43,40,37,28
653,96,20,0.204508869,33,41,33,39,35,38,43,40,37,28
654,97,20,0.338766338,42,44,38,26,29,38,43,40,37,28
655,98,20,0.216622526,46,22,34,40,26,38,43,40,37,28
656,99,20,0.304935563,34,45,32,34,28,38,43,40,37,28
657,101,20,0.400391142,34,40,42,33,40,38,43,40,37,28
658,103,20,0.13546442,33,36,30,32,25,38,43,40,37,28
659,104,20,0.328746302,35,44,40,41,35,38,43,40,37,28
660,105,20,0.153866799,30,37,44,35,36,38,43,40,37,28
661,2,22,0.041083722,30,33,41,43,22,32,24,32,48,30
662,7,22,0.058686785,40,27,32,25,15,32,24,32,48,30
663,12,22,0.001219966,39,33,31,30,30,32,24,32,48,30
664,15,22,0.031149005,39,35,31,39,43,32,24,32,48,30
665,21,22,0.029827785,42,44,44,49,22,32,24,32,48,30
666,24,22,0.067830209,37,37,31,31,32,32,24,32,48,30
667,25,22,-0.022575721,41,43,43,43,47,32,24,32,48,30
668,30,22,0.107723887,29,39,39,37,34,32,24,32,48,30
669,33,22,0.051211958,34,36,33,40,28,32,24,32,48,30
670,34,22,0.0321084,39,28,34,39,33,32,24,32,48,30
671,35,22,0.156844315,42,41,32,41,34,32,24,32,48,30
672,37,22,-0.174344004,35,39,35,41,34,32,24,32,48,30
673,38,22,0.02703686,32,26,33,30,28,32,24,32,48,30
674,50,22,0.346271042,48,28,43,36,25,32,24,32,48,30
675,58,22,0.050307593,31,36,36,33,27,32,24,32,48,30
676,66,22,0.264463482,34,29,35,38,35,32,24,32,48,30
677,73,22,0.05970729,34,45,32,32,25,32,24,32,48,30
678,74,22,0.164179737,44,36,39,29,22,32,24,32,48,30
679,76,22,0.036226844,37,31,24,24,31,32,24,32,48,30
680,77,22,0.053328897,36,50,34,30,33,32,24,32,48,30
681,78,22,-0.029266665,44,21,32,22,18,32,24,32,48,30
682,79,22,0.05410802,47,25,37,28,22,32,24,32,48,30
683,80,22,0.084125301,41,46,41,39,44,32,24,32,48,30
684,81,22,0.04855993,41,46,36,33,38,32,24,32,48,30
685,82,22,-0.171796906,47,46,47,42,42,32,24,32,48,30
686,83,22,0.153796063,39,42,45,33,41,32,24,32,48,30
687,84,22,0.076905973,46,47,37,34,43,32,24,32,48,30
688,86,22,0.026657442,35,44,35,35,33,32,24,32,48,30
689,87,22,0.022481934,36,40,37,36,29,32,24,32,48,30
690,88,22,-0.0520851,24,47,32,36,46,32,24,32,48,30
691,89,22,0.088255828,36,37,28,32,32,32,24,32,48,30
692,90,22,-0.054323235,23,35,38,38,32,32,24,32,48,30
693,91,22,0.101065515,25,42,34,46,45,32,24,32,48,30
694,92,22,0.412834438,48,46,36,44,37,32,24,32,48,30
695,93,22,0.014844662,35,24,37,22,33,32,24,32,48,30
696,94,22,0.088306764,41,33,28,39,42,32,24,32,48,30
697,96,22,-0.004449718,33,41,33,39,35,32,24,32,48,30
698,97,22,0.254612669,42,44,38,26,29,32,24,32,48,30
699,98,22,0.207123942,46,22,34,40,26,32,24,32,48,30
700,99,22,-0.036925328,34,45,32,34,28,32,24,32,48,30
701,101,22,0.209816813,34,40,42,33,40,32,24,32,48,30
702,103,22,-0.020797328,33,36,30,32,25,32,24,32,48,30
703,104,22,0.135694593,35,44,40,41,35,32,24,32,48,30
704,105,22,0.026150725,30,37,44,35,36,32,24,32,48,30
705,2,23,0.052709936,30,33,41,43,22,36,45,40,45,25
706,7,23,0.015942763,40,27,32,25,15,36,45,40,45,25
707,12,23,0.144555618,39,33,31,30,30,36,45,40,45,25
708,15,23,-0.013493622,39,35,31,39,43,36,45,40,45,25
709,21,23,0.04187971,42,44,44,49,22,36,45,40,45,25
710,24,23,0.147391577,37,37,31,31,32,36,45,40,45,25
711,25,23,0.100019951,41,43,43,43,47,36,45,40,45,25
712,30,23,0.162869306,29,39,39,37,34,36,45,40,45,25
713,33,23,-0.031972317,34,36,33,40,28,36,45,40,45,25
714,34,23,0.077952488,39,28,34,39,33,36,45,40,45,25
715,35,23,0.014629112,42,41,32,41,34,36,45,40,45,25
716,37,23,0.049110846,35,39,35,41,34,36,45,40,45,25
717,38,23,0.083162934,32,26,33,30,28,36,45,40,45,25
718,50,23,0.095476173,48,28,43,36,25,36,45,40,45,25
719,58,23,0.055256987,31,36,36,33,27,36,45,40,45,25
720,66,23,0.027470802,34,29,35,38,35,36,45,40,45,25
721,73,23,0.113198715,34,45,32,32,25,36,45,40,45,25
722,74,23,0.055056924,44,36,39,29,22,36,45,40,45,25
723,76,23,0.049889582,37,31,24,24,31,36,45,40,45,25
724,77,23,0.005565579,36,50,34,30,33,36,45,40,45,25
725,78,23,0.115024979,44,21,32,22,18,36,45,40,45,25
726,79,23,0.054786534,47,25,37,28,22,36,45,40,45,25
727,80,23,0.043569866,41,46,41,39,44,36,45,40,45,25
728,81,23,0.047883831,41,46,36,33,38,36,45,40,45,25
729,82,23,0.194123818,47,46,47,42,42,36,45,40,45,25
730,83,23,0.273099554,39,42,45,33,41,36,45,40,45,25
731,84,23,0.437110156,46,47,37,34,43,36,45,40,45,25
732,86,23,0.084112349,35,44,35,35,33,36,45,40,45,25
733,87,23,0.016624387,36,40,37,36,29,36,45,40,45,25
734,88,23,-0.020780484,24,47,32,36,46,36,45,40,45,25
735,89,23,0.215571425,36,37,28,32,32,36,45,40,45,25
736,90,23,0.07596102,23,35,38,38,32,36,45,40,45,25
737,91,23,8.60E-05,25,42,34,46,45,36,45,40,45,25
738,92,23,0.079223071,48,46,36,44,37,36,45,40,45,25
739,93,23,0.035662195,35,24,37,22,33,36,45,40,45,25
740,94,23,0.06415229,41,33,28,39,42,36,45,40,45,25
741,96,23,0.037835463,33,41,33,39,35,36,45,40,45,25
742,97,23,0.12870032,42,44,38,26,29,36,45,40,45,25
743,98,23,0.063967963,46,22,34,40,26,36,45,40,45,25
744,99,23,0.100794688,34,45,32,34,28,36,45,40,45,25
745,101,23,0.138886682,34,40,42,33,40,36,45,40,45,25
746,103,23,0.070691037,33,36,30,32,25,36,45,40,45,25
747,104,23,0.205372206,35,44,40,41,35,36,45,40,45,25
748,105,23,0.079511078,30,37,44,35,36,36,45,40,45,25
749,2,27,0.144453327,30,33,41,43,22,43,42,28,39,19
750,7,27,0.062523365,40,27,32,25,15,43,42,28,39,19
751,12,27,0.376426963,39,33,31,30,30,43,42,28,39,19
752,15,27,0.141419194,39,35,31,39,43,43,42,28,39,19
753,21,27,0.137080092,42,44,44,49,22,43,42,28,39,19
754,24,27,0.856346851,37,37,31,31,32,43,42,28,39,19
755,25,27,0.09992879,41,43,43,43,47,43,42,28,39,19
756,30,27,0.11641325,29,39,39,37,34,43,42,28,39,19
757,33,27,0.128526092,34,36,33,40,28,43,42,28,39,19
758,34,27,0.189301987,39,28,34,39,33,43,42,28,39,19
759,35,27,0.119871255,42,41,32,41,34,43,42,28,39,19
760,37,27,0.081047578,35,39,35,41,34,43,42,28,39,19
761,38,27,0.057650088,32,26,33,30,28,43,42,28,39,19
762,50,27,0.194672292,48,28,43,36,25,43,42,28,39,19
763,58,27,0.05930926,31,36,36,33,27,43,42,28,39,19
764,66,27,0.269741424,34,29,35,38,35,43,42,28,39,19
765,73,27,0.223294724,34,45,32,32,25,43,42,28,39,19
766,74,27,0.245434892,44,36,39,29,22,43,42,28,39,19
767,76,27,0.168011667,37,31,24,24,31,43,42,28,39,19
768,77,27,0.150585533,36,50,34,30,33,43,42,28,39,19
769,78,27,0.036837929,44,21,32,22,18,43,42,28,39,19
770,79,27,0.057254166,47,25,37,28,22,43,42,28,39,19
771,80,27,0.359298203,41,46,41,39,44,43,42,28,39,19
772,81,27,0.112409768,41,46,36,33,38,43,42,28,39,19
773,82,27,0.250098789,47,46,47,42,42,43,42,28,39,19
774,83,27,0.459141706,39,42,45,33,41,43,42,28,39,19
775,84,27,0.152258531,46,47,37,34,43,43,42,28,39,19
776,86,27,0.075937244,35,44,35,35,33,43,42,28,39,19
777,87,27,0.003460994,36,40,37,36,29,43,42,28,39,19
778,88,27,0.325697513,24,47,32,36,46,43,42,28,39,19
779,89,27,0.350194637,36,37,28,32,32,43,42,28,39,19
780,90,27,0.310608373,23,35,38,38,32,43,42,28,39,19
781,91,27,0.072763314,25,42,34,46,45,43,42,28,39,19
782,92,27,0.240099,48,46,36,44,37,43,42,28,39,19
783,93,27,0.128919952,35,24,37,22,33,43,42,28,39,19
784,94,27,0.077829725,41,33,28,39,42,43,42,28,39,19
785,96,27,0.003755094,33,41,33,39,35,43,42,28,39,19
786,97,27,0.131019568,42,44,38,26,29,43,42,28,39,19
787,98,27,0.029953125,46,22,34,40,26,43,42,28,39,19
788,99,27,0.442225098,34,45,32,34,28,43,42,28,39,19
789,101,27,0.065151661,34,40,42,33,40,43,42,28,39,19
790,103,27,0.133705807,33,36,30,32,25,43,42,28,39,19
791,104,27,0.05349323,35,44,40,41,35,43,42,28,39,19
792,105,27,0.107041179,30,37,44,35,36,43,42,28,39,19
793,2,29,0.069944227,30,33,41,43,22,26,48,40,28,25
794,7,29,0.036874847,40,27,32,25,15,26,48,40,28,25
795,12,29,0.106535002,39,33,31,30,30,26,48,40,28,25
796,15,29,0.02598573,39,35,31,39,43,26,48,40,28,25
797,21,29,0.090974897,42,44,44,49,22,26,48,40,28,25
798,24,29,0.059912355,37,37,31,31,32,26,48,40,28,25
799,25,29,0.03283254,41,43,43,43,47,26,48,40,28,25
800,30,29,0.083168225,29,39,39,37,34,26,48,40,28,25
801,33,29,0.029637636,34,36,33,40,28,26,48,40,28,25
802,34,29,0.141836816,39,28,34,39,33,26,48,40,28,25
803,35,29,0.230523926,42,41,32,41,34,26,48,40,28,25
804,37,29,0.079611239,35,39,35,41,34,26,48,40,28,25
805,38,29,0.062252611,32,26,33,30,28,26,48,40,28,25
806,50,29,-0.029958219,48,28,43,36,25,26,48,40,28,25
807,58,29,0.109246119,31,36,36,33,27,26,48,40,28,25
808,66,29,0.09903727,34,29,35,38,35,26,48,40,28,25
809,73,29,0.121064074,34,45,32,32,25,26,48,40,28,25
810,74,29,0.026618123,44,36,39,29,22,26,48,40,28,25
811,76,29,0.057428072,37,31,24,24,31,26,48,40,28,25
812,77,29,0.048625282,36,50,34,30,33,26,48,40,28,25
813,78,29,0.121940712,44,21,32,22,18,26,48,40,28,25
814,79,29,0.022135286,47,25,37,28,22,26,48,40,28,25
815,80,29,0.020053983,41,46,41,39,44,26,48,40,28,25
816,81,29,0.05597129,41,46,36,33,38,26,48,40,28,25
817,82,29,0.085808022,47,46,47,42,42,26,48,40,28,25
818,83,29,0.272789589,39,42,45,33,41,26,48,40,28,25
819,84,29,0.300355438,46,47,37,34,43,26,48,40,28,25
820,86,29,0.044888778,35,44,35,35,33,26,48,40,28,25
821,87,29,0.058152013,36,40,37,36,29,26,48,40,28,25
822,88,29,0.063218979,24,47,32,36,46,26,48,40,28,25
823,89,29,0.32270372,36,37,28,32,32,26,48,40,28,25
824,90,29,0.063469574,23,35,38,38,32,26,48,40,28,25
825,91,29,0.129615815,25,42,34,46,45,26,48,40,28,25
826,92,29,0.109950877,48,46,36,44,37,26,48,40,28,25
827,93,29,0.062633461,35,24,37,22,33,26,48,40,28,25
828,94,29,0.024862463,41,33,28,39,42,26,48,40,28,25
829,96,29,0.161325097,33,41,33,39,35,26,48,40,28,25
830,97,29,0.102266444,42,44,38,26,29,26,48,40,28,25
831,98,29,0.072990099,46,22,34,40,26,26,48,40,28,25
832,99,29,0.061426613,34,45,32,34,28,26,48,40,28,25
833,101,29,0.178855643,34,40,42,33,40,26,48,40,28,25
834,103,29,0.077202169,33,36,30,32,25,26,48,40,28,25
835,104,29,0.143454182,35,44,40,41,35,26,48,40,28,25
836,105,29,0.036066261,30,37,44,35,36,26,48,40,28,25
837,2,31,0.034361784,30,33,41,43,22,33,44,36,38,34
838,7,31,0.047227809,40,27,32,25,15,33,44,36,38,34
839,12,31,0.096342174,39,33,31,30,30,33,44,36,38,34
840,15,31,0.03073152,39,35,31,39,43,33,44,36,38,34
841,21,31,0.027511628,42,44,44,49,22,33,44,36,38,34
842,24,31,0.040949955,37,37,31,31,32,33,44,36,38,34
843,25,31,0.129496354,41,43,43,43,47,33,44,36,38,34
844,30,31,-0.021201596,29,39,39,37,34,33,44,36,38,34
845,33,31,0.225128536,34,36,33,40,28,33,44,36,38,34
846,34,31,0.161113692,39,28,34,39,33,33,44,36,38,34
847,35,31,0.148625358,42,41,32,41,34,33,44,36,38,34
848,37,31,0.087594756,35,39,35,41,34,33,44,36,38,34
849,38,31,0.08854106,32,26,33,30,28,33,44,36,38,34
850,50,31,0.209135646,48,28,43,36,25,33,44,36,38,34
851,58,31,0.024333054,31,36,36,33,27,33,44,36,38,34
852,66,31,0.074065855,34,29,35,38,35,33,44,36,38,34
853,73,31,0.065854482,34,45,32,32,25,33,44,36,38,34
854,74,31,-0.077044988,44,36,39,29,22,33,44,36,38,34
855,76,31,0.037746329,37,31,24,24,31,33,44,36,38,34
856,77,31,0.038414697,36,50,34,30,33,33,44,36,38,34
857,78,31,0.107077461,44,21,32,22,18,33,44,36,38,34
858,79,31,0.078023013,47,25,37,28,22,33,44,36,38,34
859,80,31,0.025324847,41,46,41,39,44,33,44,36,38,34
860,81,31,0.055974132,41,46,36,33,38,33,44,36,38,34
861,82,31,0.312352785,47,46,47,42,42,33,44,36,38,34
862,83,31,0.338526236,39,42,45,33,41,33,44,36,38,34
863,84,31,-0.044808443,46,47,37,34,43,33,44,36,38,34
864,86,31,0.047639868,35,44,35,35,33,33,44,36,38,34
